iter	Passed	Remaining
0	3	323
1	5	285
2	8	266
3	10	251
4	13	254
5	15	246
6	18	246
7	20	236
8	22	230
9	27	251
10	30	245
11	33	246
12	37	247
13	39	241
14	42	240
15	44	235
16	46	229
17	49	225
18	55	236
19	58	235
20	61	232
21	64	229
22	67	225
23	69	219
24	72	216
25	74	212
26	76	207
27	80	207
28	86	210
29	88	206
30	90	201
31	92	196
32	94	191
33	96	187
34	98	183
35	102	181
36	104	178
37	107	174
38	109	171
39	115	173
40	118	169
41	120	166
42	122	162
43	126	161
44	129	158
45	131	154
46	133	151
47	136	147
48	139	144
49	141	141
50	144	138
51	146	135
52	149	132
53	151	129
54	153	125
55	155	122
56	158	119
57	160	116
58	163	113
59	165	110
60	168	107
61	171	105
62	173	102
63	176	99
64	178	96
65	180	93
66	183	90
67	186	87
68	188	84
69	191	81
70	193	79
71	195	76
72	198	73
73	200	70
74	203	67
75	205	64
76	208	62
77	210	59
78	213	56
79	217	54
80	221	51
81	224	49
82	226	46
83	228	43
84	230	40
85	233	37
86	235	35
87	238	32
88	240	29
89	242	26
90	244	24
91	247	21
92	249	18
93	251	16
94	253	13
95	255	10
96	257	7
97	259	5
98	261	2
99	263	0
