iter	Passed	Remaining
0	141	140865
1	142	71352
2	144	48131
3	146	36477
4	148	29612
5	153	25488
6	160	22823
7	168	20852
8	176	19404
9	179	17760
10	182	16383
11	184	15195
12	194	14801
13	210	14815
14	288	18922
15	290	17890
16	292	16941
17	295	16126
18	299	15440
19	303	14879
20	306	14278
21	308	13725
22	311	13229
23	314	12809
24	319	12473
25	352	13210
26	354	12791
27	357	12399
28	367	12303
29	370	11984
30	373	11661
31	375	11356
32	378	11081
33	396	11267
34	402	11092
35	432	11577
36	435	11323
37	437	11081
38	440	10858
39	445	10698
40	448	10482
41	450	10276
42	453	10091
43	457	9939
44	460	9762
45	462	9590
46	465	9443
47	468	9288
48	471	9149
49	473	9004
50	476	8865
51	478	8725
52	481	8596
53	486	8515
54	488	8397
55	491	8278
56	493	8163
57	495	8053
58	498	7943
59	500	7848
60	503	7750
61	506	7658
62	508	7565
63	511	7475
64	513	7386
65	518	7338
66	522	7273
67	524	7193
68	531	7172
69	536	7126
70	538	7052
71	541	6982
72	544	6910
73	546	6844
74	549	6773
75	572	6954
76	574	6883
77	576	6815
78	579	6756
79	581	6691
80	584	6627
81	586	6570
82	588	6496
83	590	6437
84	593	6392
85	597	6345
86	599	6290
87	601	6236
88	604	6184
89	607	6143
90	610	6101
91	613	6056
92	616	6008
93	618	5957
94	619	5905
95	621	5856
96	624	5809
97	626	5768
98	628	5721
99	642	5784
100	644	5739
101	646	5693
102	649	5655
103	652	5619
104	655	5583
105	657	5544
106	660	5510
107	662	5472
108	664	5431
109	667	5403
110	670	5366
111	672	5328
112	673	5289
113	675	5251
114	677	5213
115	679	5177
116	681	5144
117	684	5112
118	685	5078
119	687	5044
120	689	5011
121	691	4975
122	693	4943
123	695	4912
124	697	4885
125	699	4853
126	701	4824
127	703	4795
128	705	4764
129	707	4737
130	709	4708
131	712	4686
132	714	4658
133	716	4630
134	718	4603
135	720	4575
136	722	4548
137	724	4522
138	727	4508
139	729	4484
140	731	4458
141	733	4430
142	735	4406
143	737	4383
144	739	4360
145	743	4348
146	746	4331
147	748	4309
148	751	4289
149	753	4269
150	755	4249
151	759	4235
152	761	4216
153	764	4197
154	766	4177
155	768	4158
156	770	4138
157	774	4125
158	776	4107
159	778	4087
160	779	4063
161	781	4042
162	783	4023
163	786	4007
164	789	3995
165	792	3979
166	794	3962
167	796	3946
168	799	3930
169	801	3914
170	804	3900
171	806	3884
172	809	3868
173	811	3853
174	814	3837
175	816	3822
176	820	3813
177	822	3799
178	827	3796
179	830	3781
180	832	3767
181	839	3773
182	842	3760
183	845	3748
184	847	3735
185	851	3726
186	853	3712
187	877	3788
188	880	3777
189	886	3779
190	889	3767
191	903	3802
192	906	3789
193	914	3800
194	917	3788
195	921	3779
196	924	3766
197	926	3752
198	930	3744
199	932	3730
200	935	3716
201	940	3715
202	944	3708
203	947	3697
204	950	3685
205	954	3679
206	957	3666
207	961	3659
208	963	3646
209	965	3632
210	968	3620
211	971	3610
212	974	3598
213	976	3588
214	979	3575
215	982	3566
216	985	3554
217	987	3543
218	990	3533
219	993	3524
220	996	3512
221	1001	3510
222	1005	3503
223	1010	3501
224	1013	3490
225	1015	3479
226	1018	3467
227	1021	3459
228	1024	3448
229	1026	3436
230	1028	3425
231	1031	3416
232	1037	3416
233	1041	3409
234	1044	3399
235	1047	3391
236	1053	3391
237	1055	3380
238	1058	3369
239	1060	3359
240	1063	3350
241	1067	3343
242	1070	3333
243	1072	3322
244	1075	3312
245	1086	3331
246	1109	3383
247	1128	3422
248	1137	3430
249	1139	3418
250	1142	3408
251	1145	3400
252	1147	3389
253	1150	3377
254	1152	3366
255	1157	3363
256	1170	3383
